id;Код подразделения;type;Задания кластер;Задания центр;Образование;Специальность;Табельный номер руководителя;Обучений количество;Звонки кластер;Звонки центр;Опоздания кластер;Опоздания центр;Будни Нет опоздания Время опозданий;Рабочее время кластер;Рабочее время центр;Компьютер кластер;Компьютер центр;Активность кластер;Активность центр;Виды документов
ОРГ1-02050;ОРГ1;2;7;0.457321492515122;Высшее образование - бакалавриат, Неполное высшее образование;Технологические машины и оборудование;не указано;2;1;0.164432665128782;7;0.792785550182909;0.0428805555555556;1;0.0485439078935509;1;0.370304524844459;3;1.65898222242932;Приказ
ОРГ1-02783;ОРГ1;2;1;0.663071287965426;Высшее образование;Автоматизация технологических процессов и производств;ОРГ1-01974;1;1;0.724930836631744;7;0.808182493336888;0.0918277777777778;null;null;1;0.947610521484829;3;1.41128337667221;Служебная записка, Файл
ОРГ2-06173;ОРГ2;0;null;null;Высшее образование;Управление качеством;ОРГ2-01170;1;null;null;4;1.37202536481743;0.533601666666667;null;null;null;null;null;null;null
ОРГ2-05359;ОРГ2;2;null;null;Среднее профессиональное образование;Технолог-сварщик;ОРГ2-09100;1;null;null;7;1.05359213015847;0.106453611111111;null;null;2;0.413356734295969;1;0.851212571958674;null
ОРГ1-00803;ОРГ1;2;4;1.15968820590671;Высшее образование;Журналистика;не указано;1;1;0.491433841537241;3;0.648211358926501;0;null;null;8;0.602659893999965;2;1.328783398468;Служебная записка, Файл
ОРГ1-01546;ОРГ1;0;2;1.65203330251651;Высшее образование;Промышленное и гражданское строительство;ОРГ1-00483;1;null;null;3;0.758465703183054;0.190956388888889;null;null;3;0.689120097352936;3;1.94556170762738;Служебная записка, Файл
ОРГ1-00254;ОРГ1;2;3;0.891091045904122;Высшее образование;Автоматизированные системы обработки информации и управления;ОРГ1-00807;1;1;0.202035277571508;7;0.808548674492466;0.0107286111111111;null;null;3;0.647210268909541;2;1.6082150431792;Служебная записка, Файл
ОРГ1-00741;ОРГ1;2;2;0.610734707866816;Высшее образование;Машины и аппараты химических производств и предприятий строительных материалов;не указано;1;8;0.738135107578967;7;1.35551116872743;0.163836944444444;1;0.119177387830243;1;0.972863289264707;3;1.40901338096192;Служебная записка, Файл
ОРГ2-06468;ОРГ2;2;null;null;Высшее образование - специалитет, магистратура;Управление персоналом;ОРГ2-09100;1;null;null;7;2.50677852734815;1.25521583333333;null;null;null;null;null;null;null
ОРГ2-04027;ОРГ2;0;null;null;Высшее образование - бакалавриат;Физика;не указано;1;null;null;4;12.5981731580597;0.878470277777778;null;null;7;6.2836369492343;4;10.3940207135492;null
ОРГ1-01692;ОРГ1;2;2;1.0413726365177;Высшее образование - специалитет, магистратура;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;ОРГ1-01391;1;8;0.770714242862804;7;0.939245240176804;1.8528775;7;0.772184970372555;1;1.10192160247309;8;1.28158547771598;Распоряжение, Служебная записка
ОРГ1-02857;ОРГ1;2;7;0.358605006414165;Высшее образование;Водоснабжение и канализация;ОРГ1-01285;1;null;null;4;2.85406902087601;0.682431388888889;null;null;3;1.19080323026175;1;1.37180610172474;Приказ
ОРГ1-01138;ОРГ1;0;1;2.49478678675532;Высшее образование, Повышение квалификации;Финансы и кредит, не указано;ОРГ1-01138;2;4;1.64748703175556;8;5.12595474338133;5.79606138888888;6;0.711000444816978;5;1.83730855857903;4;2.02301570693105;Служебная записка, Файл
ОРГ1-01883;ОРГ1;2;null;null;null;null;null;null;null;null;3;0.794320787736325;0;null;null;8;0.861824607510222;2;1.50468711421451;null
ОРГ1-01301;ОРГ1;1;1;0.614118909500858;Высшее образование, не указано, Среднее профессиональное образование;Сметное дело и ценообразование, Экономика и планирование в отраслях народного хозяйства;не указано;3;1;0.54166882544845;1;1.4150628780756;2.65976972222222;1;0.120172518787925;5;1.02635883414836;3;0.894707516257231;Распоряжение, Служебная записка
ОРГ1-00442;ОРГ1;1;1;0.344597692959032;Высшее образование, не указано;Химическая технология природных энергоносителей и углеродных материалов, Переводчик в сфере профессиональной коммуникации;ОРГ1-01310;2;1;0.865627376692531;1;1.83335512125515;2.93496555555555;1;0.441074045257476;3;0.847572099629726;3;1.46399725013322;Служебная записка, Файл
ОРГ1-01731;ОРГ1;1;2;0.670635762408563;null;null;null;null;8;0.910157094939689;7;0.702510665042608;0.117691666666667;1;0.0392657123226926;1;0.525129048944281;8;0.619198103201347;Служебная записка, Файл
ОРГ1-01680;ОРГ1;2;2;1.81607580437085;Высшее образование;Бухгалтерский учет и аудит;не указано;1;null;null;6;2.01470558680978;1.48955194444444;null;null;6;1.87036954405527;7;2.4562366495371;Служебная записка, Файл
ОРГ1-01068;ОРГ1;2;null;null;null;null;null;null;1;0.480425269932235;null;null;null;null;null;2;1.31730530546643;6;1.94284763769192;null
ОРГ1-01628;ОРГ1;0;2;0.83049141664521;Высшее образование;Машины и аппараты химических производств;не указано;1;1;0.154775195070108;1;2.1461661362445;2.7775175;null;null;5;0.990495364912665;8;1.79267097886664;Служебная записка, Файл
ОРГ2-02286;ОРГ2;2;null;null;Высшее образование;Проектирование, сооружение и эксплуатация газонефтепроводов и газохранилищ;не указано;1;null;null;4;2.38898214627444;0.528875277777778;null;null;7;1.94920771197307;4;0.856418544929927;null
ОРГ1-02717;ОРГ1;2;7;0.457120311024478;Высшее образование - бакалавриат, Высшее образование - специалитет, магистратура;Биология, Экология и природопользование;не указано;2;null;null;7;0.857823965827942;1.20882861111111;8;0.193091334226403;2;0.727722075762881;3;1.20380841550372;Приказ, Служебная записка
ОРГ1-01655;ОРГ1;3;7;0.456770577782565;Высшее образование;Машины и аппараты химических производств и предприятий строительных материалов, Безопасность технологических процессов и производств;ОРГ1-01649;2;1;0.375067932222485;4;2.08077881130855;1.58709277777778;null;null;4;0.333384963948893;1;1.0037927940562;Приказ, Служебная записка
ОРГ1-02086;ОРГ1;2;10;0.548789129088868;Высшее образование;Планирование народного хозяйства;ОРГ1-02146;1;1;1.02019207981171;6;3.42079020829931;5.38432083333333;null;null;2;0.372029593256958;1;0.748075756641929;Приказ, Распоряжение
ОРГ1-01647;ОРГ1;2;1;1.07734369668364;Высшее образование;Электрооборудование и электрохозяйство предприятий, организаций и учреждений, Электроэнергктика и электротехника;не указано;2;2;1.37524876789019;6;2.48818562870557;0.779286944444444;null;null;4;1.38310804226279;4;1.47259066316716;Распоряжение, Служебная записка
ОРГ2-00533;ОРГ2;2;7;0.457237857599074;Высшее образование - бакалавриат;Технология транспортных процессов;не указано;1;null;null;4;2.31552322411677;0.619736388888889;null;null;null;null;null;null;Входящий, Приказ
ОРГ2-05202;ОРГ2;1;1;0.947598173181274;Начальное профессиональное образование;Электроэнергетические системы и сети;ОРГ2-09100;1;null;null;3;0.579175864015175;0.0927563888888889;null;null;8;0.642474314894618;2;1.02600082307038;Служебная записка, Файл
ОРГ1-01981;ОРГ1;2;null;null;null;null;null;null;1;0.417360160670925;3;1.90999650344608;1.66809444444444;null;null;2;0.970882873663024;1;0.710062484779604;null
ОРГ2-04461;ОРГ2;1;10;1.64260456174442;Высшее образование;Строительство;ОРГ2-09100;1;null;null;7;0.851394794202586;0.168042777777778;null;null;2;1.11906199337434;1;1.29206658219368;Входящий, Служебная записка
ОРГ1-02825;ОРГ1;2;10;0.344536524419273;Высшее образование - бакалавриат;Строительство;ОРГ1-02146;1;1;1.32402635006235;7;2.24832540349931;2.28643472222222;null;null;2;0.918811885945231;1;1.11112458967798;Приказ, Распоряжение
ОРГ2-05858;ОРГ2;2;null;null;Высшее образование;Государственное и муниципальное управление;не указано;1;null;null;1;1.26724132289864;5.0470025;null;null;null;null;null;null;null
ОРГ1-02835;ОРГ1;3;3;0.967293126801906;Высшее образование;Проектирование, сооружение и эксплуатация газонефтепроводов и газонефтехранилищ;не указано;1;8;1.06865831427615;7;2.59556512836715;0;null;null;2;1.85103644433129;5;1.98045806217332;Распоряжение, Служебная записка
ОРГ1-02563;ОРГ1;0;null;null;Высшее образование - специалитет, магистратура, Повышение квалификации;Проектирование зданий и сооружений.Работы по подготовке генерального плана земельного участка, Безопасность строительства и качество выполнения общестроительных работ. Строительный контроль. Орга;не указано;4;null;null;4;1.95283530090259;0.439816111111111;null;null;4;1.02715841540617;4;1.90996604485802;null
ОРГ1-01332;ОРГ1;1;2;2.19413092183794;Высшее образование;Технология машиностроения, металлорежущие станки и инструменты;не указано;1;2;1.55687117534128;4;1.04277949643319;0.292926111111111;null;null;4;0.767843126296208;1;2.17395176526904;Служебная записка, Файл
ОРГ1-02803;ОРГ1;2;10;1.61359085557376;Высшее образование - бакалавриат;Строительство;не указано;1;null;null;1;1.25310767345885;5.35989861111111;null;null;3;0.851314190892581;1;1.02604749204788;Приказ
ОРГ1-02046;ОРГ1;0;7;0.986386329272853;Высшее образование;Автоматизация технологических процессов и производств (по отраслям);ОРГ1-02759;1;1;0.76078365601451;6;2.60327084300097;1.74332861111111;1;0.21461233157838;4;0.568681932008501;1;1.41357588921687;Служебная записка, Файл
ОРГ2-01592;ОРГ2;2;null;null;Высшее образование;не указано;ОРГ2-09100;1;null;null;3;0.873024504751282;0;null;null;null;null;null;null;null
ОРГ1-02749;ОРГ1;1;10;0.414490196001579;null;null;null;null;1;0.463540221188471;7;1.57120191656016;1.27448083333333;null;null;1;0.902832992461002;8;0.708483195504151;Распоряжение, Служебная записка
ОРГ1-00581;ОРГ1;2;1;0.526096112724644;Высшее образование;Математические методы в экономике;ОРГ1-00581;1;8;0.744600245612393;1;1.74460559744231;5.58952444444444;8;0.0851489055058181;2;0.799655339575951;1;0.986099427175788;Служебная записка, Файл
ОРГ1-02896;ОРГ1;3;null;null;null;null;null;null;1;0.478104173578957;null;null;null;null;null;1;1.01347212790945;5;0.457941569099642;null
ОРГ1-01348;ОРГ1;1;1;0.97850557628813;Высшее образование, Начальное профессиональное образование;Химическая технология природных энергоносителей и углеродных материалов, Аппаратчик-оператор широкого профиля нефтехимического производства;ОРГ1-01348;2;1;1.03574886987512;8;2.37747614879618;0.196593333333333;1;0.919136742908754;5;0.951820525015597;3;1.96767164353427;Служебная записка, Файл
