id,15,24,98,Summ
ОРГ1-02050,1,1,1,3
ОРГ1-02783,1,1,1,3
ОРГ2-06173,0,0,0,0
ОРГ2-05359,0,0,0,0
ОРГ1-00803,1,1,1,3
ОРГ1-01546,0,0,0,0
ОРГ1-00254,1,1,1,3
ОРГ1-00741,1,1,1,3
ОРГ2-06468,0,1,1,2
ОРГ2-04027,0,0,0,0
ОРГ1-01692,1,1,1,3
ОРГ1-02857,1,1,1,3
ОРГ1-01138,0,0,0,0
ОРГ1-01883,1,1,1,3
ОРГ1-01301,0,0,0,0
ОРГ1-00442,0,0,0,0
ОРГ1-01731,0,0,0,0
ОРГ1-01680,1,1,1,3
ОРГ1-01068,1,1,1,3
ОРГ1-01628,0,0,0,0
ОРГ2-02286,1,1,1,3
ОРГ1-02717,1,1,1,3
ОРГ1-01655,0,0,0,0
ОРГ1-02086,1,1,1,3
ОРГ1-01647,1,1,1,3
ОРГ2-00533,1,1,1,3
ОРГ2-05202,0,0,0,0
ОРГ1-01981,1,1,1,3
ОРГ2-04461,0,0,0,0
ОРГ1-02825,1,1,1,3
ОРГ2-05858,1,1,1,3
ОРГ1-02835,0,0,0,0
ОРГ1-02563,1,0,0,1
ОРГ1-01332,1,1,0,2
ОРГ1-02803,1,1,1,3
ОРГ1-02046,0,0,0,0
ОРГ2-01592,0,1,1,2
ОРГ1-02749,0,0,0,0
ОРГ1-00581,1,1,1,3
ОРГ1-02896,0,0,0,0
ОРГ1-01348,0,0,0,0
ОРГ1-00924,0,1,0,1
ОРГ1-00920,1,1,1,3
ОРГ1-01907,1,1,1,3
ОРГ1-02989,1,1,1,3
ОРГ1-02824,1,1,1,3
ОРГ1-01882,0,0,0,0
ОРГ1-00645,0,0,0,0
ОРГ1-02817,1,1,1,3
ОРГ1-01022,1,1,1,3
ОРГ1-01850,1,1,1,3
ОРГ2-01421,0,0,0,0
ОРГ1-00826,1,1,0,2
ОРГ1-00839,1,1,1,3
ОРГ1-01116,1,1,1,3
ОРГ1-02080,1,1,1,3
ОРГ1-02975,1,1,0,2
ОРГ1-02725,0,0,0,0
ОРГ1-02573,1,1,1,3
ОРГ1-01349,0,0,0,0
ОРГ2-02069,0,0,0,0
ОРГ1-01939,1,1,1,3
ОРГ1-01385,1,1,1,3
ОРГ1-02222,1,1,1,3
ОРГ1-00980,1,1,0,2
ОРГ1-00576,0,0,0,0
ОРГ1-01956,0,0,0,0
ОРГ2-06364,0,0,0,0
ОРГ1-01502,1,1,1,3
ОРГ2-01887,0,0,0,0
ОРГ2-06791,1,1,1,3
ОРГ2-00501,1,0,0,1
ОРГ1-00830,0,0,0,0
ОРГ1-01234,1,1,1,3
ОРГ2-01870,0,0,0,0
ОРГ1-02823,1,1,1,3
ОРГ2-06000,1,1,1,3
ОРГ1-01845,0,0,0,0
ОРГ2-01477,0,0,0,0
ОРГ1-01920,1,1,1,3
ОРГ1-00941,1,1,1,3
ОРГ2-06125,0,1,1,2
ОРГ1-00884,1,1,1,3
ОРГ1-01288,0,0,0,0
ОРГ1-01772,1,1,1,3
ОРГ1-01248,1,1,1,3
ОРГ2-03829,0,0,0,0
ОРГ1-02778,1,1,1,3
ОРГ2-02262,0,0,0,0
ОРГ1-02083,1,1,1,3
ОРГ1-02124,0,1,0,1
ОРГ2-02136,0,0,0,0
ОРГ1-01945,0,0,0,0
ОРГ1-01458,1,1,1,3
ОРГ1-00693,1,1,1,3
ОРГ1-01569,1,1,1,3
